Unnamed: 0,Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
216,MAIN MARKET,PLANTATION,'5029,-,-,790,50,2.58,2.7,30,2.65,2.65,2.65,2.64,s,21-Oct-19,05:00PM,2.65,FAR EAST HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5029
217,MAIN MARKET,PROPERTY,'6041,-,-,480,400,0.34,0.35,372,0.35,0.355,0.355,0.345,s,21-Oct-19,05:00PM,0.35,FARLIM GROUP (MALAYSIA) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6041
218,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7229,-,-,"1,155",135,2.68,2.7,665,2.7,2.7,2.7,2.68,s,21-Oct-19,05:00PM,2.7,FAVELLE FAVCO BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7229
219,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'2755,-,-,8,65,0.61,-,-,0.61,0.61,0.61,0.61,s,21-Oct-19,05:00PM,0.61,FCW HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2755
220,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'8605,-,-,305,150,0.345,0.36,124,0.36,0.355,0.36,0.35,s,21-Oct-19,05:00PM,0.36,FEDERAL INTERNATIONAL HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8605
221,MAIN MARKET,PLANTATION,'5222,0.01,0.93,"136,057",210,1.09,1.1,"1,502",1.08,1.08,1.12,1.08,s,21-Oct-19,05:00PM,1.09,FGV HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5222
222,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6939,-0.01,-2,100,"1,900",0.49,0.51,"2,305",0.5,0.49,0.49,0.49,s,21-Oct-19,05:00PM,0.49,FIAMMA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6939
223,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'0149,-,-,819,79,0.34,0.355,80,0.34,0.355,0.355,0.34,s,21-Oct-19,05:00PM,0.34,FIBON BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0149
224,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'3107,-,-,-,60,1.73,1.74,20,1.74,-,-,-,s,21-Oct-19,05:00PM,-,FIMA CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3107
225,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9318,-,-,"5,650","3,392",0.38,0.385,"4,567",0.385,0.385,0.385,0.38,s,21-Oct-19,05:00PM,0.385,FITTERS DIVERSIFIED BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9318
226,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5197,-,-,200,110,1.16,1.2,175,1.17,1.17,1.17,1.17,s,21-Oct-19,05:00PM,1.17,FOCUS LUMBER BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5197
