Date,Code,Name,Price,Volume,Category,Board,52week,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),URL
2019-09-12,'5166,MINDA GLOBAL BERHAD,0.075,2909,"Consumer Products & Services, Main Market",Main Market,0.035-0.110,-1.16,0.00,0.18,-6.48,0.00,-6.43,0.42,92.99,https://www.klsescreener.com/v2/stocks/view/5166/minda-global-berhad
2019-09-12,'7010,GRAND HOOVER BERHAD,0.570,1500,"Property, Main Market",Main Market,0.520-0.715,-7.06,0.00,1.09,-8.07,0.00,-6.48,0.52,22.80,https://www.klsescreener.com/v2/stocks/view/7010/grand-hoover-berhad
2019-09-12,'7200,TEK SENG HOLDINGS BERHAD,0.240,1133,"Consumer Products & Services, Main Market",Main Market,0.210-0.315,-3.89,0.00,0.58,-6.17,0.00,-6.70,0.41,83.57,https://www.klsescreener.com/v2/stocks/view/7200/tek-seng-holdings-berhad
2019-09-12,'7211,TAFI INDUSTRIES BERHAD,0.240,0,"Consumer Products & Services, Main Market",Main Market,0.240-0.360,-3.78,0.00,0.56,-6.35,0.00,-6.75,0.43,19.20,https://www.klsescreener.com/v2/stocks/view/7211/tafi-industries-berhad
2019-09-12,'9377,FSBM HOLDINGS BERHAD,0.095,0,"Technology, Main Market",Main Market,0.095-0.240,-0.28,0.00,0.04,-34.07,0.00,-6.97,2.38,13.42,https://www.klsescreener.com/v2/stocks/view/9377/fsbm-holdings-berhad
2019-09-12,'7943,SAND NISKO CAPITAL BERHAD,0.235,0,"Consumer Products & Services, Main Market",Main Market,0.230-0.310,-2.44,0.00,0.35,-9.62,0.00,-6.98,0.67,15.51,https://www.klsescreener.com/v2/stocks/view/7943/sand-nisko-capital-berhad
2019-09-12,'5256,REACH ENERGY BERHAD,0.190,17704,"Energy, Main Market",Main Market,0.170-0.500,-5.37,0.00,0.76,-3.54,0.00,-7.07,0.25,208.32,https://www.klsescreener.com/v2/stocks/view/5256/reach-energy-berhad
2019-09-12,'7082,SYF RESOURCES BERHAD,0.185,1000,"Consumer Products & Services, Main Market",Main Market,0.180-0.280,-3.19,1.25,0.45,-5.79,6.76,-7.10,0.41,114.56,https://www.klsescreener.com/v2/stocks/view/7082/syf-resources-berhad
2019-09-12,'5090,MEDIA CHINESE INTERNATIONAL LIMITED,0.170,6416,"Telecommunications & Media, Main Market",Main Market,0.165-0.280,-2.90,1.13,0.41,-5.86,6.65,-7.11,0.42,286.83,https://www.klsescreener.com/v2/stocks/view/5090/media-chinese-international-limited
2019-09-12,'9695,PLS PLANTATIONS BERHAD,0.760,1700,"Plantation, Main Market",Main Market,0.750-1.260,-3.98,0.00,0.55,-19.10,0.00,-7.28,1.39,266.53,https://www.klsescreener.com/v2/stocks/view/9695/pls-plantations-berhad
2019-09-12,'6173,BINA DARULAMAN BERHAD,0.340,100,"Property, Main Market",Main Market,0.300-0.490,-10.75,0.00,1.47,-3.16,0.00,-7.31,0.23,103.31,https://www.klsescreener.com/v2/stocks/view/6173/bina-darulaman-berhad
2019-09-12,'2054,TDM BERHAD,0.180,230,"Plantation, Main Market",Main Market,0.150-0.245,-4.12,0.00,0.56,-4.36,0.00,-7.36,0.32,302.88,https://www.klsescreener.com/v2/stocks/view/2054/tdm-berhad
2019-09-12,'7240,VERTICE BERHAD,0.905,5195,"Consumer Products & Services, Main Market",Main Market,0.800-0.930,-4.88,0.00,0.66,-18.55,0.00,-7.39,1.37,170.83,https://www.klsescreener.com/v2/stocks/view/7240/vertice-berhad
2019-09-12,'3573,LIEN HOE CORPORATION BERHAD,0.250,2789,"Property, Main Market",Main Market,0.240-0.350,-10.29,0.00,1.39,-2.43,0.00,-7.40,0.18,90.44,https://www.klsescreener.com/v2/stocks/view/3573/lien-hoe-corporation-berhad
2019-09-12,'5145,SEALINK INTERNATIONAL BERHAD,0.350,37417,"Transportation & Logistics, Main Market",Main Market,0.105-0.355,-5.31,0.00,0.70,-6.59,0.00,-7.59,0.50,175.00,https://www.klsescreener.com/v2/stocks/view/5145/sealink-international-berhad
2019-09-12,'8052,CENTRAL GLOBAL BERHAD,0.525,0,"Industrial Products & Services, Main Market",Main Market,0.430-0.850,-4.12,0.00,0.54,-12.75,0.00,-7.77,0.99,47.25,https://www.klsescreener.com/v2/stocks/view/8052/central-global-berhad
2019-09-12,'9075,THETA EDGE BERHAD,0.460,71,"Technology, Main Market",Main Market,0.245-0.510,-4.45,0.00,0.57,-10.33,0.00,-7.81,0.81,49.33,https://www.klsescreener.com/v2/stocks/view/9075/theta-edge-berhad
