Unnamed: 0,Buy,BuyVolume,Change,ChangePercentage,Close,Code,Company,Date,High,LACP,Low,Market,Open,Remark,Sector,Sell,SellVolume,Time,Volume,BursaURL,MarketStatus,TickSize,TickSizeRemark
53,0.110,"1,140",0.000,0.00,0.110,'7054,ASTRAL ASIA BERHAD,23 Oct 2019,0.110,0.11,0.110,MAIN MARKET,0.110,s,PLANTATION,0.115,200,05:00PM,110,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7054,MarketNoChange,0.0,
54,1.380,600,-0.010,-0.71,1.400,'6399,ASTRO MALAYSIA HOLDINGS BERHAD,23 Oct 2019,1.400,1.41,1.370,MAIN MARKET,1.370,s,TELECOMMUNICATIONS & MEDIA,1.400,697,05:00PM,"2,658",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6399,MarketGapDown,2.9999999999999805,
55,1.500,"1,200",-0.010,-0.66,1.500,'8176,ATA IMS BERHAD,23 Oct 2019,1.510,1.51,1.480,MAIN MARKET,1.510,s,INDUSTRIAL PRODUCTS & SERVICES,1.520,50,05:00PM,"1,272",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8176,MarketNoChange,1.0000000000000009,
56,4.070,10,0.000,0.00,-,'7048,ATLAN HOLDINGS BHD,23 Oct 2019,-,4.18,-,MAIN MARKET,-,s,CONSUMER PRODUCTS & SERVICES,4.170,15,05:00PM,0,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7048,MarketClosed,0.0,
57,1.050,754,0.000,0.00,1.050,'5130,ATRIUM REAL ESTATE INVESTMENT TRUST,23 Oct 2019,1.060,1.05,1.050,MAIN MARKET,1.060,s,REAL ESTATE INVESTMENT TRUSTS,1.060,370,05:00PM,252,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5130,MarketGapUp,0.0,OpenAndClosePriceMismatch
58,0.400,120,0.010,+2.44,0.420,'7099,ATTA GLOBAL GROUP BERHAD,23 Oct 2019,0.420,0.41,0.405,MAIN MARKET,0.405,s,INDUSTRIAL PRODUCTS & SERVICES,0.420,139,05:00PM,34,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7099,MarketGapDown,2.9999999999999916,
59,0.150,8,-0.005,-3.23,0.150,'8885,AVILLION BERHAD,23 Oct 2019,0.155,0.155,0.150,MAIN MARKET,0.155,s,CONSUMER PRODUCTS & SERVICES,0.155,"1,200",05:00PM,"38,479",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8885,MarketNoChange,1.0000000000000009,
60,0.605,16,0.000,0.00,0.605,'7579,AWC BERHAD,23 Oct 2019,0.615,0.605,0.600,MAIN MARKET,0.615,s,INDUSTRIAL PRODUCTS & SERVICES,0.610,700,05:00PM,"2,309",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7579,MarketGapUp,0.0,OpenAndClosePriceMismatch
61,4.240,642,0.000,0.00,4.250,'6888,AXIATA GROUP BERHAD,23 Oct 2019,4.250,4.25,4.220,MAIN MARKET,4.220,s,TELECOMMUNICATIONS & MEDIA,4.250,"13,891",05:00PM,"11,941",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6888,MarketGapDown,0.0,OpenAndClosePriceMismatch
62,1.790,"13,430",-0.010,-0.56,1.790,'5106,AXIS REAL ESTATE INVESTMENT TRUST,23 Oct 2019,1.800,1.8,1.790,MAIN MARKET,1.800,s,REAL ESTATE INVESTMENT TRUSTS,1.800,564,05:00PM,"41,662",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5106,MarketNoChange,1.0000000000000009,
63,3.880,50,-0.200,-5.00,3.800,'2305,AYER HOLDINGS BERHAD,23 Oct 2019,3.800,4.0,3.800,MAIN MARKET,3.800,s,PROPERTY,4.100,5,05:00PM,10,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2305,MarketGapDown,0.0,
64,0.285,860,0.000,0.00,0.295,'5021,AYS VENTURES BERHAD,23 Oct 2019,0.295,0.295,0.285,MAIN MARKET,0.290,s,INDUSTRIAL PRODUCTS & SERVICES,0.290,50,05:00PM,170,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5021,MarketGapDown,0.0,OpenAndClosePriceMismatch
65,0.365,1,0.000,0.00,-,'7005,B.I.G. INDUSTRIES BERHAD,23 Oct 2019,-,0.3,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,0.390,205,05:00PM,0,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7005,MarketClosed,0.0,
66,0.030,"14,922",0.005,+16.67,0.035,'7251,BARAKAH OFFSHORE PETROLEUM BERHAD,23 Oct 2019,0.035,0.03,0.030,MAIN MARKET,0.030,s,ENERGY,0.035,"196,496",05:00PM,"9,676",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7251,MarketNoChange,1.0000000000000009,
67,15.600,56,0.000,0.00,15.600,'1899,BATU KAWAN BERHAD,23 Oct 2019,15.600,15.6,15.560,MAIN MARKET,15.580,s,PLANTATION,15.800,30,05:00PM,294,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1899,MarketGapDown,0.0,OpenAndClosePriceMismatch
68,0.240,200,0.000,0.00,-,'6602,BCB BERHAD,23 Oct 2019,-,0.26,-,MAIN MARKET,-,s,PROPERTY,0.265,370,05:00PM,0,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6602,MarketClosed,0.0,
69,0.140,13,0.005,+3.57,0.145,'5190,BENALEC HOLDINGS BERHAD,23 Oct 2019,0.145,0.14,0.140,MAIN MARKET,0.140,s,CONSTRUCTION,0.145,"3,174",05:00PM,"4,412",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5190,MarketNoChange,0.9999999999999953,
70,0.295,"1,951",-0.005,-1.64,0.300,'3239,BERJAYA ASSETS BERHAD,23 Oct 2019,0.300,0.305,0.300,MAIN MARKET,0.300,s,PROPERTY,0.300,147,05:00PM,"1,001",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3239,MarketGapDown,0.0,
71,0.240,"28,498",0.000,0.00,0.240,'3395,BERJAYA CORPORATION BERHAD,23 Oct 2019,0.245,0.24,0.235,MAIN MARKET,0.235,s,INDUSTRIAL PRODUCTS & SERVICES,0.245,"34,566",05:00PM,"113,195",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3395,MarketGapDown,0.0,OpenAndClosePriceMismatch
72,1.460,21,0.000,0.00,1.480,'5196,BERJAYA FOOD BERHAD,23 Oct 2019,1.480,1.48,1.470,MAIN MARKET,1.470,s,CONSUMER PRODUCTS & SERVICES,1.480,"1,000",05:00PM,"5,030",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5196,MarketGapDown,0.0,OpenAndClosePriceMismatch
73,0.195,"42,299",-0.005,-2.50,0.195,'4219,BERJAYA LAND BERHAD,23 Oct 2019,0.205,0.2,0.195,MAIN MARKET,0.200,s,CONSUMER PRODUCTS & SERVICES,0.200,"1,500",05:00PM,"10,233",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4219,MarketNoChange,1.0000000000000009,
74,0.320,1,-0.045,-18.00,0.205,'6025,BERJAYA MEDIA BERHAD,23 Oct 2019,0.205,0.25,0.205,MAIN MARKET,0.205,s,TELECOMMUNICATIONS & MEDIA,0.325,50,05:00PM,2,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6025,MarketGapDown,0.0,
75,2.570,88,-0.010,-0.39,2.580,'1562,BERJAYA SPORTS TOTO BERHAD,23 Oct 2019,2.600,2.59,2.550,MAIN MARKET,2.590,s,CONSUMER PRODUCTS & SERVICES,2.580,1,05:00PM,"11,703",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1562,MarketNoChange,0.9999999999999787,
76,2.200,"39,249",0.010,+0.46,2.200,'5248,BERMAZ AUTO BERHAD,23 Oct 2019,2.220,2.19,2.190,MAIN MARKET,2.190,s,CONSUMER PRODUCTS & SERVICES,2.210,450,05:00PM,"10,977",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5248,MarketNoChange,1.000000000000023,
77,0.185,34,0.025,+15.63,0.185,'9814,BERTAM ALLIANCE BERHAD,23 Oct 2019,0.185,0.16,0.185,MAIN MARKET,0.185,s,PROPERTY,0.280,"1,515",05:00PM,16,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9814,MarketGapUp,0.0,
