Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL,MarketStatus,TickSize,TickSizeRemark
MAIN MARKET,PROPERTY,'6912,0.005,+1.59,100,20,0.320,0.330,300,0.315,0.320,0.320,0.320,s,28 Nov 2019,05:00PM,0.320,PASDEC HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6912,MarketGapUp,0.0,
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5212,0.010,+0.56,207,40,1.780,1.800,572,1.79,1.790,1.800,1.770,s,28 Nov 2019,05:00PM,1.800,PAVILION REAL ESTATE INVESTMENT TRUST,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5212,MarketNoChange,1.0000000000000009,
MAIN MARKET,UTILITIES,'5041,-0.020,-1.77,105,20,1.120,1.130,50,1.13,1.120,1.120,1.110,s,28 Nov 2019,05:00PM,1.110,PBA HOLDINGS BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5041,MarketGapDown,1.0000000000000009,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6068,0.000,0.00,"6,941","11,976",0.400,0.405,"1,071",0.4,0.405,0.410,0.400,s,28 Nov 2019,05:00PM,0.400,PCCS GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6068,MarketGapUp,0.0,OpenAndClosePriceMismatch
MAIN MARKET,TRANSPORTATION & LOGISTICS,'6254,-0.005,-14.29,"7,287","304,718",0.025,0.030,"1,478",0.035,0.030,0.030,0.025,s,28 Nov 2019,05:00PM,0.030,PDZ HOLDINGS BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6254,MarketGapDown,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5271,0.010,+0.81,"1,534",42,1.240,1.250,"1,180",1.24,1.240,1.250,1.230,s,28 Nov 2019,05:00PM,1.250,PECCA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5271,MarketNoChange,1.0000000000000009,
MAIN MARKET,PROPERTY,'4464,-0.005,-50.00,"2,650","3,642,977",0.005,0.010,"1,889,353",0.01,0.010,0.010,0.005,s,28 Nov 2019,05:00PM,0.005,PEGASUS HEIGHTS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4464,MarketNoChange,1.0,
MAIN MARKET,TELECOMMUNICATIONS & MEDIA,'7190,-0.015,-4.29,200,70,0.335,0.600,40,0.35,0.335,0.335,0.335,s,28 Nov 2019,05:00PM,0.335,PELANGI PUBLISHING GROUP BHD.,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7190,MarketGapDown,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5231,-0.015,-4.55,350,100,0.315,0.320,200,0.33,0.315,0.315,0.315,s,28 Nov 2019,05:00PM,0.315,PELIKAN INTERNATIONAL CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5231,MarketGapDown,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'9997,0.010,+3.03,450,150,0.335,0.350,50,0.33,0.335,0.340,0.335,s,28 Nov 2019,05:00PM,0.340,PENSONIC HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9997,MarketGapUp,1.0000000000000009,
MAIN MARKET,TECHNOLOGY,'7160,-0.010,-0.21,"11,548",344,4.690,4.700,117,4.7,4.700,4.730,4.680,s,28 Nov 2019,05:00PM,4.690,PENTAMASTER CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7160,MarketNoChange,0.9999999999999787,
MAIN MARKET,TRANSPORTATION & LOGISTICS,'8346,-0.030,-8.57,50,50,0.325,0.345,150,0.35,0.320,0.320,0.320,s,28 Nov 2019,05:00PM,0.320,PERAK CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8346,MarketGapDown,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'0186,0.005,+1.92,"23,685","3,090",0.260,0.265,"31,929",0.26,0.260,0.265,0.260,s,28 Nov 2019,05:00PM,0.265,PERAK TRANSIT BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0186,MarketNoChange,1.0000000000000009,
MAIN MARKET,ENERGY,'7108,-0.005,-1.39,"67,385","13,901",0.350,0.355,659,0.36,0.360,0.365,0.355,s,28 Nov 2019,05:00PM,0.355,PERDANA PETROLEUM BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7108,MarketNoChange,1.0000000000000009,
MAIN MARKET,ENERGY,'0047,0.000,0.00,0,-,-,-,-,0.005,-,-,-,Ss,28 Nov 2019,05:00PM,-,PERISAI PETROLEUM TEKNOLOGI BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0047,MarketClosed,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7080,0.010,+1.45,"47,134",17,0.695,0.700,499,0.69,0.690,0.700,0.690,s,28 Nov 2019,05:00PM,0.700,PERMAJU INDUSTRIES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7080,MarketNoChange,2.0000000000000018,
MAIN MARKET,CONSTRUCTION,'8311,0.005,+2.27,"2,030",376,0.220,0.225,"2,200",0.22,0.220,0.225,0.220,s,28 Nov 2019,05:00PM,0.225,PESONA METRO HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8311,MarketNoChange,1.0000000000000009,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5219,-0.010,-0.77,"2,841",116,1.280,1.290,220,1.3,1.300,1.300,1.270,s,28 Nov 2019,05:00PM,1.290,PESTECH INTERNATIONAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5219,MarketNoChange,1.0000000000000009,
MAIN MARKET,ENERGY,'5133,-0.060,-4.05,"18,101",25,1.420,1.430,250,1.48,1.480,1.480,1.400,s,28 Nov 2019,05:00PM,1.420,PETRA ENERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5133,MarketNoChange,6.000000000000005,
MAIN MARKET,ENERGY,'3042,-0.030,-0.59,419,64,5.040,5.060,4,5.08,5.050,5.060,5.040,s,28 Nov 2019,05:00PM,5.050,PETRON MALAYSIA REFINING & MARKETING BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3042,MarketGapDown,0.0,
