name,full_name,symbol
Melati Ehsan,Melati Ehsan Holdings Bhd,MEHB
Thriven Global,Thriven Global Bhd,THRI
Stella Holdings Bhd,Stella Holdings Bhd,STEL
MKH,MKH Bhd,METR
Malayan Flour Mills,Malayan Flour Mills Bhd,MFMS
Malaysian Genomics,Malaysian Genomics Resource,MGRC
Malpac,Malpac Holdings Bhd,MHBS
MHC Plantations,MHC Plantations Bhd,MHCP
Milux Corp,Milux Corporation Bhd,MILU
Mintye Industries,Mintye Industries Bhd,MINT
Mitrajaya,Mitrajaya Holdings Bhd,MITR
Majuperak,Majuperak Holdings Bhd,MJPR
M K Land,M K Land Holdings Bhd,MKLH
Malton,Malton Bhd,MLTO
Menang Corp,Menang Corporation (Malaysia) Bhd,MNCS
Mesiniaga,Mesiniaga Bhd,MNGA
Manulife,Manulife Holdings Bhd,MNLF
MNRB,MNRB Holdings Bhd,MNRB
MPHB Capital,MPHB Capital Bhd,MPHB
Malaysian Pacific Ind,Malaysian Pacific Industries,MPIM
Malaysia Pacific Corp,Malaysia Pacific Corporation,MPLB
Marco,Marco Holdings Bhd,MRHB
MSM Malaysia,MSM Malaysia Holdings Bhd,MSMH
Multi Sports,Multi Sports Holdings Ltd,MSPT
Master Pack,Master Pack Group Bhd,MSTP
MTD ACPI Engineering,MTD ACPI Engineering Bhd,MTDA
Muhibbah Engineering,Muhibbah Engineering M Bhd,MUHI
MUI Properties,MUI Properties Bhd,MUIP
MY EG Services,MY EG Services Bhd,MYEG
Naim,Naim Holdings Bhd,NCHB
Nestle,Nestle (Malaysia) Bhd,NESM
New Hoong Fatt,New Hoong Fatt Holdings Bhd,NHFH
Ni Hsin Resources,Ni Hsin Resources Bhd,NHSN
Niche Capital Emas,Niche Capital Emas Holdings,NICH
Negri Sembilan Oil Palms,Negri Sembilan Oil Palms Bhd,NSOS
NTPM,NTPM Holdings Bhd,NTPM
Notion Vtec,Notion Vtec Bhd,NVTE
Oceancash Pacific,Oceancash Pacific Bhd,OCEA
Oriental Food Ind,Oriental Food Industries Hold,OFIH
Oriental Interest,Oriental Interest Bhd,OINT
Omesti,Omesti Bhd,OMES
OPCOM,OPCOM Holdings Bhd,OPCM
Oriental,Oriental Holdings Bhd,OTLS
Pacific Orient,Pacific Orient Bhd,PACO
Mscm,Mscm Holdings Bhd,MSCM
Paos,Paos Holdings Bhd,PAOS
PCCS,PCCS Group Bhd,PCCS
