Unnamed: 0,Buy,BuyVolume,Change,ChangePercentage,Close,Code,Company,Date,High,LACP,Low,Market,Open,Remark,Sector,Sell,SellVolume,Time,Volume,BursaURL
146,1.290,110,-0.020,-1.48,1.330,'2925,CYCLE & CARRIAGE BINTANG BERHAD,25 Oct 2019,1.330,1.35,1.280,MAIN MARKET,1.300,s,CONSUMER PRODUCTS & SERVICES,1.330,24,05:00PM,136,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2925
147,0.350,18,-,-,-,'7157,CYL CORPORATION BERHAD,25 Oct 2019,-,0.355,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,0.390,6,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7157
148,0.270,150,-0.010,-3.57,0.270,'5082,CYMAO HOLDINGS BERHAD,25 Oct 2019,0.280,0.28,0.270,MAIN MARKET,0.280,s,INDUSTRIAL PRODUCTS & SERVICES,0.310,350,05:00PM,150,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5082
149,1.410,30,-0.010,-0.70,1.420,'5184,CYPARK RESOURCES BERHAD,25 Oct 2019,1.430,1.43,1.410,MAIN MARKET,1.430,s,INDUSTRIAL PRODUCTS & SERVICES,1.420,"10,181",05:00PM,"11,349",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5184
150,0.735,"1,490",0.030,+4.23,0.740,'7204,D&O GREEN TECHNOLOGIES BERHAD,25 Oct 2019,0.750,0.71,0.705,MAIN MARKET,0.710,s,TECHNOLOGY,0.740,399,05:00PM,"269,794",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7204
151,0.025,"585,948",-,-,0.030,'7179,D.B.E. GURNEY RESOURCES BERHAD,25 Oct 2019,0.030,0.03,0.025,MAIN MARKET,0.025,s,CONSUMER PRODUCTS & SERVICES,0.030,"33,120",05:00PM,"4,030",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7179
152,0.280,"12,427",0.005,+1.79,0.285,'4456,DAGANG NEXCHANGE BERHAD,25 Oct 2019,0.285,0.28,0.280,MAIN MARKET,0.285,s,TECHNOLOGY,0.285,"20,749",05:00PM,"33,223",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4456
153,2.100,100,-,-,2.130,'8125,DAIBOCHI BERHAD,25 Oct 2019,2.170,2.13,2.100,MAIN MARKET,2.150,s,INDUSTRIAL PRODUCTS & SERVICES,2.130,7,05:00PM,903,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8125
154,0.420,"1,795",0.005,+1.18,0.430,'3484,DAMANSARA REALTY BHD,25 Oct 2019,0.430,0.425,0.420,MAIN MARKET,0.425,s,PROPERTY,0.430,"1,248",05:00PM,"1,218",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3484
155,0.515,250,-,-,0.520,'5276,DANCOMECH HOLDINGS BERHAD,25 Oct 2019,0.525,0.52,0.515,MAIN MARKET,0.525,s,INDUSTRIAL PRODUCTS & SERVICES,0.525,84,05:00PM,472,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5276
156,0.175,"11,981",-0.010,-5.41,0.175,'8338,DATAPREP HOLDINGS BHD,25 Oct 2019,0.185,0.185,0.170,MAIN MARKET,0.185,s,TECHNOLOGY,0.180,"5,759",05:00PM,"65,381",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8338
157,1.060,"1,710",-0.010,-0.93,1.070,'5216,DATASONIC GROUP BERHAD,25 Oct 2019,1.090,1.08,1.050,MAIN MARKET,1.080,s,TECHNOLOGY,1.070,"1,471",05:00PM,"34,421",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5216
158,0.005,"1,347,360",0.005,+100.00,0.010,'0091,DAYA MATERIALS BERHAD,25 Oct 2019,0.010,0.005,0.005,MAIN MARKET,0.005,s,ENERGY,0.010,"33,621",05:00PM,"59,473",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0091
159,1.980,54,-,-,1.990,'5141,DAYANG ENTERPRISE HOLDINGS BERHAD,25 Oct 2019,2.010,1.99,1.970,MAIN MARKET,1.990,s,ENERGY,1.990,779,05:00PM,"33,222",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5141
160,1.050,193,-,-,1.050,'7119,DEGEM BERHAD,25 Oct 2019,1.050,1.05,1.050,MAIN MARKET,1.050,s,CONSUMER PRODUCTS & SERVICES,1.080,99,05:00PM,7,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7119
161,1.020,"1,441",-0.010,-0.97,1.020,'5132,DELEUM BERHAD,25 Oct 2019,1.040,1.03,1.020,MAIN MARKET,1.030,s,ENERGY,1.030,280,05:00PM,"1,122",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5132
