,BoardType,Name,Code,BursaURL,Page
052,main_market,ASIAN PAC HOLDINGS BERHAD,'4057,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4057,http://www.asianpac.com.my
053,main_market,ASTINO BERHAD,'7162,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7162,http://www.astino.com.my
054,main_market,ASTRAL ASIA BERHAD,'7054,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7054,http://www.astralasia.com
055,main_market,ASTRO MALAYSIA HOLDINGS BERHAD,'6399,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6399,http://www.astromalaysia.com.my
056,main_market,ATA IMS BERHAD,'8176,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8176,http://denko.com.my
057,main_market,ATLAN HOLDINGS BHD,'7048,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7048,http://www.atlan.com.my/
058,main_market,ATRIUM REAL ESTATE INVESTMENT TRUST,'5130,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5130,http://www.atriumreit.com.my/
059,main_market,ATTA GLOBAL GROUP BERHAD,'7099,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7099,http://www.attaglobalgroup.com/
060,main_market,AVILLION BERHAD,'8885,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8885,http://www.avillion.com/
061,main_market,AWC BERHAD,'7579,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7579,http://www.awc.com.my
062,main_market,AXIATA GROUP BERHAD,'6888,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6888,http://www.axiata.com
063,main_market,AXIS REAL ESTATE INVESTMENT TRUST,'5106,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5106,http://www.axis-reit.com.my
064,main_market,AYER HOLDINGS BERHAD,'2305,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2305,http://www.tahps.com.my
