Date,Code,Name,Price,Volume,Category,Board,52week,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),URL
22/8/2019,'0180,KIM TECK CHEONG CONSOLIDATED BERHAD,0.145,3347,"Consumer Products & Services, Ace Market",Ace Market,0.130-0.195,2.3,0,0.21,6.31,0,10.94,0.69,73.99,https://www.klsescreener.com/v2/stocks/view/0180/kim-teck-cheong-consolidated-berhad
22/8/2019,'0195,BINASAT COMMUNICATIONS BERHAD,0.3,621,"Telecommunications & Media, Ace Market",Ace Market,0.290-0.460,3.15,0.5,0.29,9.52,1.67,10.86,1.03,78,https://www.klsescreener.com/v2/stocks/view/0195/binasat-communications-berhad
22/8/2019,'0032,REDTONE INTERNATIONAL BERHAD,0.37,10737,"Telecommunications & Media, Ace Market",Ace Market,0.155-0.405,2.02,0,0.21,18.27,0,9.83,1.8,280.71,https://www.klsescreener.com/v2/stocks/view/0032/redtone-international-berhad
22/8/2019,'0023,IFCA MSC BERHAD,0.335,91957,"Technology, Ace Market",Ace Market,0.185-0.485,1.92,1,0.2,17.46,2.99,9.59,1.68,203.78,https://www.klsescreener.com/v2/stocks/view/0023/ifca-msc-berhad
22/8/2019,'0191,CABNET HOLDINGS BERHAD,0.19,0,"Technology, Ace Market",Ace Market,0.190-0.345,2.39,0.7,0.27,7.94,3.66,9.01,0.72,33.96,https://www.klsescreener.com/v2/stocks/view/0191/cabnet-holdings-berhad
22/8/2019,'0074,GREEN OCEAN CORPORATION BERHAD,0.075,0,"Consumer Products & Services, Ace Market",Ace Market,0.075-0.125,0.68,0,0.08,11.1,0,8.89,0.99,21.73,https://www.klsescreener.com/v2/stocks/view/0074/green-ocean-corporation-berhad
22/8/2019,'0176,KRONOLOGI ASIA BERHAD,0.6,34213,"Technology, Ace Market",Ace Market,0.525-0.775,3.8,2,0.44,15.79,3.33,8.63,1.36,293.57,https://www.klsescreener.com/v2/stocks/view/0176/kronologi-asia-berhad
22/8/2019,'0171,PETERLABS HOLDINGS BERHAD,0.19,4550,"Consumer Products & Services, Ace Market",Ace Market,0.190-0.370,1.81,0,0.23,10.5,0,7.89,0.83,40.8,https://www.klsescreener.com/v2/stocks/view/0171/peterlabs-holdings-berhad
22/8/2019,'0179,BIOALPHA HOLDINGS BERHAD,0.2,13963,"Consumer Products & Services, Ace Market",Ace Market,0.195-0.265,1.42,0.11,0.18,14.08,0.55,7.71,1.09,172.04,https://www.klsescreener.com/v2/stocks/view/0179/bioalpha-holdings-berhad
22/8/2019,'0001,SUPERCOMNET TECHNOLOGIES BERHAD,0.79,11344,"Industrial Products & Services, Ace Market",Ace Market,0.520-1.040,2.32,1.52,0.31,34.06,1.92,7.48,2.55,507.97,https://www.klsescreener.com/v2/stocks/view/0001/supercomnet-technologies-berhad
22/8/2019,'0104,GENETEC TECHNOLOGY BERHAD,1.12,240,"Technology, Ace Market",Ace Market,1.100-2.000,13.27,5,1.79,8.44,4.46,7.42,0.63,47.37,https://www.klsescreener.com/v2/stocks/view/0104/genetec-technology-berhad
