Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7498,0.005,+1.92,60,290,0.265,0.280,15,0.26,0.265,0.265,0.265,s,29 Nov 2019,05:00PM,0.265,RALCO CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7498
MAIN MARKET,UTILITIES,'5272,-,-,"5,853",780,1.130,1.150,160,1.14,1.140,1.140,1.130,s,29 Nov 2019,05:00PM,1.140,RANHILL HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5272
MAIN MARKET,PROPERTY,'7765,-,-,"3,326",48,5.980,5.990,153,5.98,5.990,6.010,5.800,s,29 Nov 2019,05:00PM,5.980,RAPID SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7765
MAIN MARKET,FINANCIAL SERVICES,'9296,0.030,+1.84,"3,249",1,1.650,1.660,258,1.63,1.640,1.660,1.630,s,29 Nov 2019,05:00PM,1.660,RCE CAPITAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9296
MAIN MARKET,ENERGY,'5256,-0.005,-2.63,"39,337","26,482",0.180,0.185,"1,868",0.19,0.185,0.185,0.180,s,29 Nov 2019,05:00PM,0.185,REACH ENERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5256
MAIN MARKET,SPECIAL PURPOSE ACQUISITION COMPANY,'5270,-,-,-,-,-,-,-,0.505,-,-,-,Ss,29 Nov 2019,05:00PM,-,RED SENA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5270
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7232,-,-,-,220,0.290,0.310,100,0.295,-,-,-,s,29 Nov 2019,05:00PM,-,RESINTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7232
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'9946,0.015,+5.66,50,26,0.270,0.295,100,0.265,0.280,0.280,0.280,s,29 Nov 2019,05:00PM,0.280,REX INDUSTRY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9946
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'0037,0.005,+2.94,"41,733","2,522",0.175,0.180,"11,560",0.17,0.175,0.180,0.170,s,29 Nov 2019,05:00PM,0.175,RGB INTERNATIONAL BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0037
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9954,-0.010,-7.14,450,"5,770",0.130,0.135,900,0.14,0.135,0.135,0.130,s,29 Nov 2019,05:00PM,0.130,RGT BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9954
