Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-08-30,'9091,EMICO ,EMICO HOLDINGS BERHAD,,0.16,0.160,0.160,0.160,"89,000",0,0.000 ,0.00%,,"128,000",0.150 - 0.215,0.00,0.00%,1.43,16.9M,11,0,0.38,0.160 / 0.165,3.40,51.02,,0.7,,"111,000 / 90,600",https://www.klsescreener.com/v2/stocks/view/9091/emico-holdings-berhad
2019-08-30,'7006,LATITUD ,LATITUDE TREE HOLDINGS BERHAD,,3.39,3.400,3.370,3.400,"5,500",1,+0.010 ,+0.29%,increasing,"6,100",3.240 - 4.160,3.00,0.88%,19.82,330.5M,17,0,0.58,3.360 / 3.440,3.41,750.53,,0.9,,"2,000 / 9,200",https://www.klsescreener.com/v2/stocks/view/7006/latitude-tree-holdings-berhad
2019-08-30,'7060,NHFATT ,NEW HOONG FATT HOLDINGS BERHAD,,2.45,2.740,2.740,2.740,"1,000",28,+0.290 ,+11.84%,increasing,"2,400",2.450 - 3.200,10.00,3.65%,18.90,226.5M,14,1,0.49,2.500 / 2.720,3.38,321.43,,0.4,,"2,500 / 1,100",https://www.klsescreener.com/v2/stocks/view/7060/new-hoong-fatt-holdings-berhad
2019-08-30,'5135,SWKPLNT ,SARAWAK PLANTATION BERHAD,,1.46,1.460,1.460,1.460,-,0,0.000 ,0.00%,,"42,100",1.310 - 1.900,5.00,3.42%,6.29,408.8M,23,1,0.76,1.400 / 1.450,3.28,113.56,,0.0,,"11,500 / 3,000",https://www.klsescreener.com/v2/stocks/view/5135/sarawak-plantation-berhad
2019-08-30,'7173,TOYOINK ,TOYO INK GROUP BERHAD,,0.795,0.775,0.720,0.775,"13,200",4,-0.020 ,-2.52%,decreasing,"259,900",0.575 - 1.040,2.00,2.58%,3.74,82.9M,21,1,0.67,0.725 / 0.775,3.25,82.09,,0.1,,"10,000 / 6,400",https://www.klsescreener.com/v2/stocks/view/7173/toyo-ink-group-berhad
2019-08-30,'5284,LCTITAN ,LOTTE CHEMICAL TITAN HOLDING BERHAD,,2.47,2.500,2.460,2.490,"131,500",2,+0.020 ,+0.81%,increasing,"771,700",2.460 - 5.210,17.00,6.83%,16.80,"5,746.4M",15,1,0.48,2.480 / 2.490,3.25,392.24,,0.2,,"11,800 / 197,300",https://www.klsescreener.com/v2/stocks/view/5284/lotte-chemical-titan-holding-berhad
2019-08-30,'8125,DAIBOCI ,DAIBOCHI BERHAD,,1.68,1.680,1.680,1.680,"5,000",0,0.000 ,0.00%,,"54,500",1.550 - 2.370,1.50,0.89%,1.98,550.9M,85,2,2.75,1.670 / 1.700,3.25,111.30,,0.1,,"12,000 / 5,000",https://www.klsescreener.com/v2/stocks/view/8125/daibochi-berhad
2019-08-30,'8761,BREM ,BREM HOLDING BERHAD,,0.78,0.780,0.780,0.780,-,0,0.000 ,0.00%,,"49,800",0.725 - 0.855,4.00,5.13%,5.16,269.5M,15,2,0.48,0.775 / 0.790,3.20,34.41,,0.0,,"50,000 / 140,000",https://www.klsescreener.com/v2/stocks/view/8761/brem-holding-berhad
2019-08-30,'5198,AFUJIYA ,ABM FUJIYA BERHAD,,0.5,0.490,0.490,0.490,"10,000",2,-0.010 ,-2.00%,decreasing,"17,600",0.385 - 0.710,0.00,0.00%,2.78,88.2M,18,1,0.56,0.485 / 0.515,3.20,64.64,,0.6,,"15,000 / 7,500",https://www.klsescreener.com/v2/stocks/view/5198/abm-fujiya-berhad
2019-08-30,'7199,KEINHIN ,KEIN HING INTERNATIONAL BERHAD,,0.51,0.490,0.490,0.490,100,4,-0.020 ,-3.92%,decreasing,"5,500",0.480 - 0.630,1.01,2.06%,3.25,53.4M,15,0,0.48,0.510 / 0.565,3.15,216.11,,0.0,,"1,000 / 5,000",https://www.klsescreener.com/v2/stocks/view/7199/kein-hing-international-berhad
