Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL,MarketStatus,TickSize,TickSizeRemark
MAIN MARKET,CLOSED END FUND,'5108,-0.020,-0.82,100,440,2.430,2.450,300,2.45,2.430,2.430,2.430,s,12 Nov 2019,05:00PM,2.430,ICAPITAL.BIZ BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5108,MarketGapDown,0.0,
MAIN MARKET,ENERGY,'5255,0.000,0.00,"5,469","226,580",0.035,0.040,"146,716",0.035,0.040,0.040,0.035,s,12 Nov 2019,05:00PM,0.035,ICON OFFSHORE BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5255,MarketGapUp,0.0,OpenAndClosePriceMismatch
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'9113,0.000,0.00,"18,751","11,014",0.315,0.320,"1,932",0.32,0.320,0.325,0.315,s,12 Nov 2019,05:00PM,0.320,ICONIC WORLDWIDE BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9113,MarketNoChange,0.0,
MAIN MARKET,PROPERTY,'9687,-0.020,-1.47,373,90,1.310,1.340,50,1.36,1.340,1.340,1.340,s,12 Nov 2019,05:00PM,1.340,IDEAL UNITED BINTANG INTERNATIONAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9687,MarketGapDown,0.0,
MAIN MARKET,PROPERTY,'5606,0.000,0.00,20,5,2.700,2.790,652,2.7,2.700,2.700,2.700,s,12 Nov 2019,05:00PM,2.700,IGB BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5606,MarketNoChange,0.0,
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5227,0.000,0.00,"42,912","21,397",1.890,1.900,"6,206",1.9,1.900,1.900,1.890,s,12 Nov 2019,05:00PM,1.900,IGB REAL ESTATE INVESTMENT TRUST,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5227,MarketNoChange,0.0,
MAIN MARKET,HEALTH CARE,'5225,0.000,0.00,"83,132",95,5.420,5.440,"4,999",5.44,5.490,5.490,5.380,s,12 Nov 2019,05:00PM,5.440,IHH HEALTHCARE BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5225,MarketGapUp,0.0,OpenAndClosePriceMismatch
MAIN MARKET,CONSTRUCTION,'3336,0.000,0.00,"17,738","1,842",2.150,2.170,50,2.17,2.170,2.180,2.140,s,12 Nov 2019,05:00PM,2.170,IJM CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3336,MarketNoChange,0.0,
MAIN MARKET,PLANTATION,'2216,-0.010,-0.62,"3,352",388,1.590,1.620,300,1.61,1.610,1.610,1.590,s,12 Nov 2019,05:00PM,1.600,IJM PLANTATIONS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2216,MarketNoChange,1.0000000000000009,
MAIN MARKET,CONSTRUCTION,'5268,0.005,+5.26,"33,454","40,617",0.095,0.100,"12,571",0.095,0.095,0.100,0.095,s,12 Nov 2019,05:00PM,0.100,IKHMAS JAYA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5268,MarketNoChange,1.0000000000000009,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7222,-0.020,-0.92,"4,152",7,2.130,2.160,210,2.17,2.150,2.150,2.140,s,12 Nov 2019,05:00PM,2.150,IMASPRO CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7222,MarketGapDown,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7243,0.000,0.00,"16,490","994,363",0.020,0.025,"437,277",0.025,0.025,0.025,0.020,s,12 Nov 2019,05:00PM,0.025,IMPIANA HOTELS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7243,MarketNoChange,0.0,
MAIN MARKET,TECHNOLOGY,'0166,-0.040,-1.98,"98,359",600,1.970,1.980,"7,497",2.02,2.020,2.030,1.960,s,12 Nov 2019,05:00PM,1.980,INARI AMERTRON BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0166,MarketNoChange,4.0000000000000036,
MAIN MARKET,PLANTATION,'2607,0.000,0.00,244,24,0.590,0.600,860,0.6,0.600,0.600,0.595,s,12 Nov 2019,05:00PM,0.600,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2607,MarketNoChange,0.0,
MAIN MARKET,TECHNOLOGY,'9393,0.000,0.00,0,50,0.090,0.095,500,0.09,-,-,-,s,12 Nov 2019,05:00PM,-,INDUSTRONICS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9393,MarketClosed,0.0,
MAIN MARKET,PLANTATION,'6262,0.000,0.00,10,25,0.680,0.820,10,0.68,0.680,0.680,0.680,s,12 Nov 2019,05:00PM,0.680,INNOPRISE PLANTATIONS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6262,MarketNoChange,0.0,
MAIN MARKET,FINANCIAL SERVICES,'3379,-0.005,-0.57,"5,172","2,378",0.865,0.875,650,0.87,0.875,0.875,0.865,s,12 Nov 2019,05:00PM,0.865,INSAS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3379,MarketGapUp,2.0000000000000018,
MAIN MARKET,CONSTRUCTION,'0192,0.005,+1.85,"4,056","10,188",0.270,0.275,"5,822",0.27,0.270,0.275,0.270,s,12 Nov 2019,05:00PM,0.275,INTA BINA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0192,MarketNoChange,1.0000000000000009,
MAIN MARKET,TRANSPORTATION & LOGISTICS,'5614,0.000,0.00,0,100,0.335,0.370,305,0.33,-,-,-,s,12 Nov 2019,05:00PM,-,INTEGRATED LOGISTICS BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5614,MarketClosed,0.0,
MAIN MARKET,PLANTATION,'1961,0.050,+1.14,"65,868",101,4.430,4.450,"5,633",4.4,4.400,4.450,4.390,s,12 Nov 2019,05:00PM,4.450,IOI CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1961,MarketNoChange,4.999999999999982,
MAIN MARKET,PROPERTY,'5249,0.030,+2.80,"51,540","3,228",1.100,1.110,64,1.07,1.070,1.110,1.070,s,12 Nov 2019,05:00PM,1.100,IOI PROPERTIES GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5249,MarketNoChange,3.0000000000000027,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5673,0.000,0.00,0,630,0.325,0.380,70,0.325,-,-,-,s,12 Nov 2019,05:00PM,-,IPMUDA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5673,MarketClosed,0.0,
