,Date,Status,Day
812,19970422,Open,Tuesday
813,19970423,Open,Wednesday
814,19970424,Open,Thursday
815,19970425,Open,Friday
816,19970428,Open,Monday
817,19970429,Open,Tuesday
818,19970430,Open,Wednesday
819,19970502,Open,Friday
820,19970505,Open,Monday
821,19970506,Open,Tuesday
822,19970507,Open,Wednesday
823,19970509,Open,Friday
824,19970512,Open,Monday
825,19970513,Open,Tuesday
826,19970514,Open,Wednesday
827,19970515,Open,Thursday
828,19970516,Open,Friday
829,19970519,Open,Monday
830,19970520,Open,Tuesday
831,19970522,Open,Thursday
832,19970523,Open,Friday
833,19970526,Open,Monday
834,19970527,Open,Tuesday
835,19970528,Open,Wednesday
836,19970529,Open,Thursday
837,19970530,Open,Friday
838,19970602,Open,Monday
839,19970603,Open,Tuesday
840,19970604,Open,Wednesday
841,19970605,Open,Thursday
842,19970606,Open,Friday
843,19970609,Open,Monday
844,19970610,Open,Tuesday
845,19970611,Open,Wednesday
846,19970612,Open,Thursday
847,19970613,Open,Friday
848,19970616,Open,Monday
849,19970617,Open,Tuesday
850,19970618,Open,Wednesday
851,19970619,Open,Thursday
852,19970620,Open,Friday
853,19970623,Open,Monday
854,19970624,Open,Tuesday
855,19970625,Open,Wednesday
856,19970626,Open,Thursday
857,19970627,Open,Friday
858,19970630,Open,Monday
859,19970701,Open,Tuesday
860,19970702,Open,Wednesday
861,19970703,Open,Thursday
862,19970704,Open,Friday
863,19970707,Open,Monday
864,19970708,Open,Tuesday
865,19970709,Open,Wednesday
866,19970710,Open,Thursday
867,19970711,Open,Friday
868,19970714,Open,Monday
869,19970715,Open,Tuesday
870,19970716,Open,Wednesday
871,19970718,Open,Friday
872,19970721,Open,Monday
873,19970722,Open,Tuesday
874,19970723,Open,Wednesday
875,19970724,Open,Thursday
876,19970725,Open,Friday
877,19970728,Open,Monday
878,19970729,Open,Tuesday
879,19970730,Open,Wednesday
880,19970731,Open,Thursday
881,19970801,Open,Friday
882,19970804,Open,Monday
883,19970805,Open,Tuesday
884,19970806,Open,Wednesday
885,19970807,Open,Thursday
886,19970808,Open,Friday
