Unnamed: 0,Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
542,MAIN MARKET,TELECOMMUNICATIONS & MEDIA,'7190,0.025,+8.33,80,20,0.325,0.370,50,0.3,0.325,0.325,0.325,s,22 Oct 2019,05:00PM,0.325,PELANGI PUBLISHING GROUP BHD.,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7190
543,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5231,-0.005,-1.59,"1,311",9,0.310,0.315,560,0.315,0.315,0.315,0.310,s,22 Oct 2019,05:00PM,0.310,PELIKAN INTERNATIONAL CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5231
544,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'9997,-,-,-,100,0.370,0.400,669,0.4,-,-,-,s,22 Oct 2019,05:00PM,-,PENSONIC HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9997
545,MAIN MARKET,TECHNOLOGY,'7160,0.010,+0.21,"11,947",537,4.760,4.770,43,4.76,4.760,4.850,4.760,s,22 Oct 2019,05:00PM,4.770,PENTAMASTER CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7160
546,MAIN MARKET,TRANSPORTATION & LOGISTICS,'8346,-,-,-,12,0.305,0.320,50,0.3,-,-,-,s,22 Oct 2019,05:00PM,-,PERAK CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8346
547,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'0186,-0.005,-2.22,"32,359","50,925",0.215,0.220,"9,962",0.225,0.225,0.225,0.215,s,22 Oct 2019,05:00PM,0.220,PERAK TRANSIT BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0186
548,MAIN MARKET,ENERGY,'7108,-0.030,-7.69,"124,190","4,896",0.360,0.365,"1,143",0.39,0.390,0.390,0.355,s,22 Oct 2019,05:00PM,0.360,PERDANA PETROLEUM BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7108
549,MAIN MARKET,ENERGY,'0047,-,-,-,-,-,-,-,0.005,-,-,-,Ss,22 Oct 2019,05:00PM,-,PERISAI PETROLEUM TEKNOLOGI BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0047
550,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7080,-0.025,-3.57,"55,133","2,200",0.670,0.675,200,0.7,0.700,0.700,0.675,s,22 Oct 2019,05:00PM,0.675,PERMAJU INDUSTRIES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7080
551,MAIN MARKET,CONSTRUCTION,'8311,-,-,"2,052","6,658",0.215,0.220,682,0.215,0.220,0.225,0.215,s,22 Oct 2019,05:00PM,0.215,PESONA METRO HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8311
552,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5219,0.020,+1.53,"11,127",93,1.320,1.330,"2,627",1.31,1.310,1.350,1.310,s,22 Oct 2019,05:00PM,1.330,PESTECH INTERNATIONAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5219
553,MAIN MARKET,ENERGY,'5133,-0.010,-0.76,"6,260",326,1.290,1.310,463,1.32,1.320,1.340,1.290,s,22 Oct 2019,05:00PM,1.310,PETRA ENERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5133
554,MAIN MARKET,ENERGY,'3042,0.070,+1.40,343,20,5.040,5.060,58,4.99,4.990,5.060,4.990,s,22 Oct 2019,05:00PM,5.060,PETRON MALAYSIA REFINING & MARKETING BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3042
555,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5183,0.020,+0.27,"45,582",714,7.400,7.420,"4,214",7.4,7.420,7.420,7.400,s,22 Oct 2019,05:00PM,7.420,PETRONAS CHEMICALS GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5183
556,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5681,-,-,"2,129",26,23.460,23.480,"4,098",23.48,23.460,23.500,23.400,s,22 Oct 2019,05:00PM,23.480,PETRONAS DAGANGAN BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5681
557,MAIN MARKET,UTILITIES,'6033,0.140,+0.84,"6,811",72,16.620,16.800,38,16.66,16.660,16.880,16.560,s,22 Oct 2019,05:00PM,16.800,PETRONAS GAS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6033
558,MAIN MARKET,HEALTH CARE,'7081,-,-,336,42,2.400,2.410,3,2.4,2.420,2.420,2.400,s,22 Oct 2019,05:00PM,2.400,PHARMANIAGA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7081
559,MAIN MARKET,CONSTRUCTION,'5622,-0.015,-1.88,39,79,0.785,0.810,100,0.8,0.820,0.820,0.785,s,22 Oct 2019,05:00PM,0.785,PIMPINAN EHSAN BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5622
560,MAIN MARKET,PLANTATION,'1902,-,-,20,100,0.260,0.265,170,0.265,0.265,0.265,0.265,s,22 Oct 2019,05:00PM,0.265,PINEHILL PACIFIC BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1902
561,MAIN MARKET,CONSTRUCTION,'9598,-0.020,-0.60,"3,201",268,3.300,3.400,119,3.32,3.390,3.390,3.300,s,22 Oct 2019,05:00PM,3.300,PINTARAS JAYA BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9598
562,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7163,-,-,-,100,0.140,0.210,200,0.16,-,-,-,s,22 Oct 2019,05:00PM,-,PJBUMI BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7163
563,MAIN MARKET,PROPERTY,'7055,-,-,-,60,1.010,1.100,187,1.15,-,-,-,s,22 Oct 2019,05:00PM,-,PLB ENGINEERING BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7055
564,MAIN MARKET,PROPERTY,'5075,0.010,+0.76,100,15,1.320,1.390,105,1.31,1.310,1.340,1.310,s,22 Oct 2019,05:00PM,1.320,PLENITUDE BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5075
