Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7048,-,-,-,10,4.030,4.170,9,4.18,-,-,-,s,07 Nov 2019,05:00PM,-,ATLAN HOLDINGS BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7048
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5130,0.010,+0.95,"2,100","1,407",1.050,1.060,222,1.05,1.060,1.060,1.060,s,07 Nov 2019,05:00PM,1.060,ATRIUM REAL ESTATE INVESTMENT TRUST,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5130
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7099,0.035,+8.54,"1,934",1,0.435,0.445,589,0.41,0.420,0.445,0.420,s,07 Nov 2019,05:00PM,0.445,ATTA GLOBAL GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7099
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'8885,-0.005,-3.33,"1,000","17,933",0.145,0.155,"2,980",0.15,0.150,0.150,0.145,s,07 Nov 2019,05:00PM,0.145,AVILLION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8885
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7579,-0.005,-0.80,"7,498",950,0.610,0.620,189,0.625,0.620,0.625,0.605,s,07 Nov 2019,05:00PM,0.620,AWC BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7579
MAIN MARKET,TELECOMMUNICATIONS & MEDIA,'6888,-,-,"21,404",1,4.280,4.300,"23,159",4.3,4.310,4.310,4.260,s,07 Nov 2019,05:00PM,4.300,AXIATA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6888
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5106,0.030,+1.69,"8,767",617,1.790,1.800,"1,718",1.77,1.770,1.810,1.760,s,07 Nov 2019,05:00PM,1.800,AXIS REAL ESTATE INVESTMENT TRUST,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5106
MAIN MARKET,PROPERTY,'2305,-,-,-,20,4.100,4.270,3,4.1,-,-,-,s,07 Nov 2019,05:00PM,-,AYER HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2305
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5021,0.005,+1.72,532,799,0.280,0.295,648,0.29,0.280,0.295,0.280,s,07 Nov 2019,05:00PM,0.295,AYS VENTURES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5021
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7005,0.010,+3.33,125,1,0.305,0.335,250,0.3,0.300,0.310,0.300,s,07 Nov 2019,05:00PM,0.310,B.I.G. INDUSTRIES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7005
